﻿id;daily_dozen_id;name;amount;unit_code
1;1;rohe Hülsenfrüchte;50;g
2;1;gekochte Hülsenfrüchte;100;g
3;1;Tofu und Tempeh;80;g
4;1;Hülsenfrüchte-Sprossen;100;g
5;1;Hummus und Dip;70;g
6;2;Frische und gefrorene Beeren;70;g
7;2;getrocknete Beeren;40;g
8;3;Frisches und gefrorenes Obst;150;g
9;3;getrocknete Früchte;60;g
10;4;gekochtes Blattgemüse;90;g
11;4;rohes und gekochtes Nicht-Blattgemüse;90;g
12;4;rohes Blattgemüse;60;g
13;4;Kreuzblütlersprossen;20;g
15;5;gekochtes Blattgemüse;90;g
16;5;rohes Blattgemüse;60;g
17;6;rohes Blattgemüse;60;g
18;6;rohes und gekochtes Nicht-Blattgemüse;90;g
19;6;getrocknete Pilze;10;g
20;7;Leinsamen gemahlen;15;g
21;8;Nüsse, Samen & Nussmus;30;g
22;9;Kurkuma und alle anderen Gewürze;2;g
23;10;rohe Vollkornprodukte;50;g
24;10;gekochte Vollkornprodukte;100;g
25;10;Flocken;50;g
26;13;tägliche Dosis;50;ug
