id;name;ingredient_category;picture;singular;favorite;bookmark;last_updated;trafficlight_id;storage_cat_id;shelf_id;description;tip;intolerant;daily_dozen_portion_id
1;Ackerbohnen;4;assets/images/ingredients/ackerbohnen.webp;Ackerbohne;0;0;;1;2;6;;;0;1
2;Ackerbohnen, gefroren;4;assets/images/ingredients/ackerbohnen__gefroren.webp;Ackerbohne, gefroren;0;0;;2;2;7;;;0;2
3;Alfala-Sprossen;1;assets/images/ingredients/alfala-sprossen.webp;Alfala-Sprosse;0;0;;1;2;5;;;0;
4;Amaranth;3;assets/images/ingredients/amaranth.webp;;0;0;;1;2;3;;;0;23
5;Ananas;2;assets/images/ingredients/ananas.webp;;0;0;;1;2;1;;;0;8
6;Anis;6;assets/images/ingredients/anis.webp;;0;0;;2;2;9;;;0;22
7;Äpfel;2;assets/images/ingredients/aepfel.webp;Apfel;0;0;;1;2;1;;;0;8
8;Apfel-Essig;6;assets/images/ingredients/apfel-essig.webp;;0;0;;3;1;8;;;0;
9;Aprikosen;2;assets/images/ingredients/aprikosen.webp;Aprikose;0;0;;1;2;1;;;0;8
10;Artischoken;1;assets/images/ingredients/artischoken.webp;Artischoke;0;0;;1;2;1;;;0;18
11;Auberginen;1;assets/images/ingredients/auberginen.webp;Aubergine;0;0;;1;2;1;;;0;18
12;Auberginen weiß;1;assets/images/ingredients/auberginen_weiss.webp;Aubergine weiß;0;0;;1;2;1;;;0;18
13;Augenbohnen;4;assets/images/ingredients/augenbohnen.webp;Augenbohne;0;0;;2;2;6;;;0;1
14;Austernpilze;1;assets/images/ingredients/austernpilze.webp;Austernpilz;0;0;;1;2;1;;;0;18
15;Avocado;1;assets/images/ingredients/avocado.webp;;0;0;;1;2;1;;;0;18
16;Azuki-Bohnen;4;assets/images/ingredients/azuki-bohnen.webp;Azuki-Bohne;0;0;;1;2;6;;;0;1
17;Baby-Mangold;1;assets/images/ingredients/baby-mangold.webp;;0;0;;1;2;1;;;0;16
18;Baby-Spinat;1;assets/images/ingredients/baby-spinat.webp;Baby-Spinat;0;0;;1;2;1;;;0;16
19;Backpulver;3;assets/images/ingredients/backpulver.webp;;0;0;;4;2;12;;;0;
20;Baharat;6;assets/images/ingredients/baharat.webp;;0;0;;3;2;9;;;0;22
21;Balsamico-Essig;6;assets/images/ingredients/balsamico-essig.webp;;0;0;;3;1;8;;;0;
22;Bananen;2;assets/images/ingredients/bananen.webp;Banane;0;0;;1;2;1;;;0;8
23;Bärlauch;1;assets/images/ingredients/baerlauch.webp;;0;0;;1;2;1;;;0;18
24;Basilikum;6;assets/images/ingredients/basilikum.webp;;0;0;;1;2;1;;;0;18
25;Basilikum, getrocknet;6;assets/images/ingredients/basilikum__getrocknet.webp;;0;0;;2;1;9;;;0;22
26;Batavia-Salat;1;assets/images/ingredients/batavia-salat.webp;;0;0;;1;2;1;;;0;16
27;Beeren;2;assets/images/ingredients/beeren.webp;Beere;0;0;;1;2;1;;;0;6
28;Beeren, gefroren;2;assets/images/ingredients/beeren__gefroren.webp;Beere, gefroren;0;0;;2;2;11;;;0;6
29;Belugalinsen;4;assets/images/ingredients/belugalinsen.webp;Belugalinse;0;0;;1;1;6;;;0;1
30;Birnen;2;assets/images/ingredients/birnen.webp;Birne;0;0;;1;2;1;;;0;8
31;Blattkohl;1;assets/images/ingredients/blattkohl.webp;;0;0;;1;2;1;;;0;12
32;Blattsalat;1;assets/images/ingredients/blattsalat.webp;;0;0;;1;2;1;;;0;16
33;Blumenkohl;1;assets/images/ingredients/blumenkohl.webp;;0;0;;1;2;1;;;0;11
34;Blumenkohl gelb;1;assets/images/ingredients/blumenkohl_gelb.webp;;0;0;;1;2;1;;;0;11
35;Blumenkohl grün;1;assets/images/ingredients/blumenkohl_gruen.webp;;0;0;;1;2;1;;;0;11
36;Blumenkohl violett;1;assets/images/ingredients/blumenkohl_violett.webp;;0;0;;1;2;1;;;0;11
37;Blumenkohl, gefroren;1;assets/images/ingredients/blumenkohl__gefroren.webp;;0;0;;2;2;11;;;0;11
38;Blutorangen;2;assets/images/ingredients/blutorangen.webp;Blutorange;0;0;;1;2;1;;;0;8
39;Bohnenkraut;6;assets/images/ingredients/bohnenkraut.webp;;0;0;;2;2;9;;;0;
40;Bratpaprika;1;assets/images/ingredients/bratpaprika.webp;;0;0;;1;2;1;;;0;18
41;Braunhirse;3;assets/images/ingredients/braunhirse.webp;;0;0;;1;2;3;;;0;23
42;Brechbohnen, gefroren;4;assets/images/ingredients/brechbohnen__gefroren.webp;Brechbohne, gefroren;0;0;;2;2;7;;;0;2
43;Brokkoli;1;assets/images/ingredients/brokkoli.webp;;0;0;;1;2;1;;;0;11
44;Brokkoli, gefroren;1;assets/images/ingredients/brokkoli__gefroren.webp;;0;0;;2;2;11;;;0;11
45;Brokkoli-Sprossen;1;assets/images/ingredients/brokkoli-sprossen.webp;;0;0;;1;2;5;;;0;13
46;Brombeeren;2;assets/images/ingredients/brombeeren.webp;Brombeere;0;0;;1;2;1;;;0;6
47;Brunnenkresse;1;assets/images/ingredients/brunnenkresse.webp;;0;0;;1;2;1;;;0;13
48;Buchweizen;3;assets/images/ingredients/buchweizen.webp;;0;0;;1;1;3;;;0;23
49;Buchweizenflocken;3;assets/images/ingredients/buchweizenflocken.webp;Buchweizenflocke;0;0;;3;2;3;;;0;25
50;Buchweizenmehl;3;assets/images/ingredients/buchweizenmehl.webp;;0;0;;4;2;12;;;0;23
51;Buchweizen-Spaghetti;3;assets/images/ingredients/buchweizen-spaghetti.webp;;0;0;;4;2;4;;;0;23
52;Buchweizen-Sprossen;3;assets/images/ingredients/buchweizen-sprossen.webp;Buchweizen-Sprosse;0;0;;1;2;5;;;0;
53;Bulgur;3;assets/images/ingredients/bulgur.webp;;0;0;;3;1;3;;;0;23
54;Buschbohnen;4;assets/images/ingredients/buschbohnen.webp;Buschbohne;0;0;;1;2;1;;;0;1
55;Buschbohnen borlotto;4;assets/images/ingredients/buschbohnen_borlotto.webp;Buschbohne borlotto;0;0;;1;2;1;;;0;1
56;Buschbohnen gelb;4;assets/images/ingredients/buschbohnen_gelb.webp;Buschbohne gelb;0;0;;1;2;1;;;0;1
57;Buschbohnen violett;4;assets/images/ingredients/buschbohnen_violett.webp;Buschbohne violett;0;0;;1;2;1;;;0;1
58;Cannellinibohnen;4;assets/images/ingredients/cannellinibohnen.webp;Cannellinibohne;0;0;;1;2;6;;;0;1
59;Cashewkerne;5;assets/images/ingredients/cashewkerne.webp;Cashewkern;0;0;;2;2;2;;;0;21
60;Cashewmilch;5;assets/images/ingredients/cashewmilch.webp;;0;0;;4;2;11;;;0;
61;Cashewmus;5;assets/images/ingredients/cashewmus.webp;;0;0;;3;2;2;;;0;21
62;Cayennepfeffer;6;assets/images/ingredients/cayennepfeffer.webp;;0;0;;3;1;9;;;0;22
63;Champignons braun;1;assets/images/ingredients/champignons_braun.webp;Champignon braun;0;0;;1;2;1;;;0;18
64;Champignons weiß;1;assets/images/ingredients/champignons_weiss.webp;Champignon weiß;0;0;;1;2;1;;;0;18
65;Chana-Dal;4;assets/images/ingredients/chana-dal.webp;;0;0;;3;2;6;;;0;1
66;Cherimoya;2;assets/images/ingredients/cherimoya.webp;;0;0;;1;2;1;;;0;8
67;Chiasamen;5;assets/images/ingredients/chiasamen.webp;;0;0;;1;1;2;;;0;21
68;Chicoree;1;assets/images/ingredients/chicoree.webp;;0;0;;1;2;1;;;0;16
69;Chili;6;assets/images/ingredients/chili.webp;;0;0;;3;1;9;;;0;22
70;Chiliflocken;6;assets/images/ingredients/chiliflocken.webp;Chiliflocke;0;0;;2;1;9;;;0;22
71;Chilischoten;1;assets/images/ingredients/chilischoten.webp;Chilischote;0;0;;1;2;1;;;0;18
72;Chinakohl;1;assets/images/ingredients/chinakohl.webp;;0;0;;1;2;1;;;0;12
73;Chinakohl violett;1;assets/images/ingredients/chinakohl_violett.webp;;0;0;;1;2;1;;;0;12
74;Clementinen;2;assets/images/ingredients/clementinen.webp;Clementine;0;0;;1;2;1;;;0;8
75;Couscous;3;assets/images/ingredients/couscous.webp;;0;0;;3;2;3;;;0;23
76;Cranberries;2;assets/images/ingredients/cranberries.webp;Cranberry;0;0;;1;2;1;;;0;6
77;Curry;6;assets/images/ingredients/curry.webp;;0;0;;3;1;9;;;0;22
78;Curry rot;6;assets/images/ingredients/curry_rot.webp;;0;0;;3;2;9;;;0;22
79;Datteln, getrocknet;2;assets/images/ingredients/datteln__getrocknet.webp;Dattel, getrocknet;0;0;;2;2;2;;;0;9
80;Dill;6;assets/images/ingredients/dill.webp;;0;0;;1;2;1;;;0;18
81;Dill, getrocknet;6;assets/images/ingredients/dill__getrocknet.webp;;0;0;;2;1;9;;;0;22
82;Dinkel;3;assets/images/ingredients/dinkel.webp;;0;0;;1;1;3;;;0;23
83;Dinkelflocken;3;assets/images/ingredients/dinkelflocken.webp;Dinkelflocke;0;0;;3;2;3;;;0;25
84;Dinkelmehl;3;assets/images/ingredients/dinkelmehl.webp;;0;0;;4;2;12;;;0;23
85;Dinkelmilch;3;assets/images/ingredients/dinkelmilch.webp;;0;0;;3;2;11;;;0;
86;Dinkel-Vollkorn Bandnudeln;3;assets/images/ingredients/dinkel-vollkorn_bandnudeln.webp;Dinkel-Vollkorn Bandnudel;0;0;;3;2;4;;;0;23
87;Dinkel-Vollkorn Farfalle;3;assets/images/ingredients/dinkel-vollkorn_farfalle.webp;;0;0;;3;2;4;;;0;23
88;Dinkel-Vollkorn Fusilli;3;assets/images/ingredients/dinkel-vollkorn_fusilli.webp;;0;0;;3;2;4;;;0;23
89;Dinkel-Vollkorn Linguine;3;assets/images/ingredients/dinkel-vollkorn_linguine.webp;;0;0;;3;2;4;;;0;23
90;Dinkel-Vollkorn Penne;3;assets/images/ingredients/dinkel-vollkorn_penne.webp;;0;0;;3;2;4;;;0;23
91;Dinkel-Vollkorn Pipette Rigate;3;assets/images/ingredients/dinkel-vollkorn_pipette_rigate.webp;;0;0;;3;2;4;;;0;23
92;Drachenfrucht;2;assets/images/ingredients/drachenfrucht.webp;;0;0;;1;2;1;;;0;8
93;Edamame;4;assets/images/ingredients/edamame.webp;;0;0;;2;2;11;;;0;2
94;Einkorn;3;assets/images/ingredients/einkorn.webp;;0;0;;1;2;3;;;0;23
95;Eisbergsalat;1;assets/images/ingredients/eisbergsalat.webp;;0;0;;1;2;1;;;0;18
96;Emmer;3;assets/images/ingredients/emmer.webp;;0;0;;1;2;3;;;0;23
97;Emmer-Vollkorn Fusilli;3;assets/images/ingredients/emmer-vollkorn_fusilli.webp;;0;0;;3;2;4;;;0;23
98;Emmer-Vollkorn Penne;3;assets/images/ingredients/emmer-vollkorn_penne.webp;;0;0;;3;2;4;;;0;23
99;Endivien-Salat;1;assets/images/ingredients/endivien-salat.webp;;0;0;;1;2;1;;;0;16
100;Enoki;1;assets/images/ingredients/enoki.webp;;0;0;;1;2;1;;;0;18
101;Erbsen gelb;4;assets/images/ingredients/erbsen_gelb.webp;Erbse gelb;0;0;;1;2;6;;;0;1
102;Erbsen grün;4;assets/images/ingredients/erbsen_gruen.webp;Erbse grün;0;0;;1;1;6;;;0;1
103;Erbsen grün, gefroren;4;assets/images/ingredients/erbsen_gruen__gefroren.webp;Erbse grün, gefroren;0;0;;2;2;11;;;0;1
