ingredient_market_id;countries_id
1;33
1;137
2;137
2;33
3;116
3;33
4;116
4;33
5;137
5;33
6;44
6;33
7;137
7;33
8;137
8;33
9;137
10;61
11;33
11;137
12;33
12;137
13;33
13;111
13;137
14;33
14;137
15;33
15;137
16;105
16;137
17;137
17;62
18;33
18;137
19;33
19;137
20;33
20;137
21;33
21;137
22;33
22;137
23;33
23;137
23;62
24;33
24;137
24;62
25;33
25;137
25;62
26;33
26;137
26;62
27;33
27;137
27;62
28;33
28;137
28;62
29;33
29;137
29;62
30;33
30;137
30;62
31;33
31;137
31;62
32;33
32;137
32;62
33;33
33;137
33;62
34;33
34;137
34;62
35;137
35;33
35;62
36;137
36;33
36;62
37;137
37;33
37;62
38;137
38;33
38;62
39;33
39;137
39;62
40;33
40;137
40;62
41;33
41;137
42;33
42;137
43;33
43;137
43;62
44;33
44;137
45;33
45;137
46;33
46;137
47;33
48;33
49;33
50;33
51;33
52;33
53;33
54;33
55;33
56;33
57;33
58;33
59;33
59;137
59;62
60;33
60;137
61;33
62;33
63;62
63;33
64;33
64;105
65;33
65;137
65;62
65;105
66;33
66;137
66;62
66;105
67;33
67;137
67;62
67;105
68;33
68;137
69;33
69;137
70;33
70;137
71;33
71;137
71;62
72;33
72;137
73;33
73;137
74;33
74;137
74;62
75;33
75;62
76;33
76;62
77;33
77;62
78;33
78;62
79;33
79;44
80;33
81;33
82;33
83;137
83;62
84;137
84;116
85;137
85;62
86;137
86;62
87;137
88;137
89;137
90;137
91;137
92;137
93;33
93;111
93;62
94;33
94;111
94;62
95;33
95;111
95;62
96;33
96;111
96;62
97;33
97;111
97;62
98;33
98;111
98;62
99;33
99;111
99;62
100;33
100;111
100;62
101;33
101;111
101;62
102;33
102;111
102;62
103;33
103;111
103;62
104;137
104;72
105;62
105;137
106;62
106;137
107;137
108;137
109;137
110;137
111;146
112;137
112;62
112;50
112;139
113;137
113;62
113;50
113;139
114;137
114;62
114;50
114;139
115;137
115;151
116;137
116;116
117;137
117;116
118;39
119;37
120;137
121;33
121;62
122;33
122;137
123;33
123;62
124;33
124;62
125;33
125;62
126;33
126;62
127;33
127;62
128;33
128;62
129;37
130;37
130;31
130;54
131;33
131;111
132;33
132;111
133;33
133;111
134;33
134;111
135;33
135;111
136;33
136;139
137;33
137;111
138;33
138;111
139;33
139;111
140;33
140;111
141;33
141;111
142;33
142;111
143;33
143;111
144;137
145;33
146;29
146;139
146;61
146;93
146;75
147;29
147;139
147;61
147;93
147;75
148;29
148;139
148;61
148;93
148;75
149;29
149;139
149;61
149;93
149;75
150;62
151;31
151;35
151;37
151;75
151;116
152;31
152;24
152;37
152;75
152;113
153;31
153;24
153;37
153;75
153;113
154;37
155;31
155;24
155;37
155;75
155;113
156;33
156;105
157;105
157;17
157;62
157;33
158;105
158;17
158;62
158;33
159;105
159;17
159;62
159;33
160;103
161;105
161;17
161;62
161;33
162;33
162;62
162;137
163;33
163;62
163;137
164;44
164;137
164;62
165;62
166;137
166;93
167;137
167;62
167;33
168;137
168;62
168;33
169;33
169;62
169;96
170;33
171;137
171;2
171;93
171;128
171;33
172;33
173;33
174;33
175;33
175;137
175;105
176;33
176;137
176;105
177;33
177;137
177;105
178;33
178;137
178;105
179;33
179;137
179;105
180;33
180;137
180;105
181;33
182;105
182;93
182;137
182;61
183;33
184;137
184;62
184;50
185;137
185;62
185;50
186;137
186;62
186;50
187;137
187;62
187;50
188;137
188;62
188;50
189;159
189;69
189;118
190;33
190;105
190;93
190;62
190;137
191;137
191;33
192;137
192;33
193;33
194;33
194;62
194;137
195;33
195;62
195;137
196;33
196;62
196;137
197;33
197;62
197;137
198;33
198;62
198;137
199;62
199;33
200;62
200;33
201;33
201;62
201;93
201;2
202;116
202;151
202;139
203;116
203;151
203;139
204;137
204;151
204;93
204;24
205;33
206;33
206;137
207;33
207;137
208;33
208;137
208;93
209;33
209;93
209;29
209;116
209;47
210;33
210;93
210;29
210;116
210;47
211;137
211;119
212;160
212;119
212;137
212;93
213;24
214;30
214;24
214;146
215;33
215;105
216;24
216;62
217;24
217;62
218;24
218;62
219;33
220;33
221;33
222;33
223;33
224;33
225;33
226;103
227;103
228;103
229;29
229;103
230;137
231;137
231;8
232;33
232;137
233;33
233;105
234;33
234;105
235;33
235;62
235;105
236;33
236;62
236;105
236;17
237;39
238;33
238;62
238;105
238;17
239;33
239;62
239;105
239;118
240;33
240;62
240;105
240;93
240;137
241;33
242;33
243;33
244;33
245;33
246;33
247;31
247;116
248;33
249;51
249;24
249;137
249;116
249;75
250;161
250;116
250;75
251;137
251;62
251;61
252;137
252;62
252;61
253;24
253;137
254;24
254;137
255;137
255;33
255;105
255;62
255;93
256;33
257;33
258;33
259;33
260;33
261;33
262;33
263;137
263;62
264;137
264;62
265;137
265;62
266;33
266;137
266;62
267;24
268;33
268;119
268;93
268;137
269;33
269;119
269;93
269;137
270;33
270;119
270;93
270;137
271;33
271;119
271;93
271;137
272;33
272;119
272;93
272;137
273;33
273;119
273;93
273;137
274;33
274;119
274;93
274;137
275;33
275;119
275;93
275;137
276;33
276;105
276;32
277;33
277;62
277;137
278;33
279;33
279;62
279;105
279;93
279;137
280;33
280;62
280;105
280;93
280;137
281;33
281;62
281;137
282;62
282;137
283;62
283;137
284;75
284;37
285;33
286;33
287;33
287;62
288;33
288;62
289;33
289;62
290;33
290;62
291;33
291;62
292;33
292;62
293;33
293;62
293;137
294;33
294;62
294;137
295;137
295;119
296;33
296;105
297;33
297;137
297;62
297;93
298;33
299;33
300;44
301;33
302;62
302;33
303;62
303;33
304;62
304;33
305;33
305;105
305;93
305;62
305;61
306;33
306;105
306;93
306;62
306;61
307;33
308;62
308;137
309;33
310;137
310;119
310;93
311;137
311;119
311;93
312;137
312;119
312;93
313;33
313;62
313;137
314;33
314;105
314;118
315;33
315;105
315;118
316;137
316;119
316;2
316;33
316;159
317;137
317;119
317;2
317;33
317;159
318;33
318;105
318;93
318;62
319;33
319;137
319;105
320;33
320;137
320;105
321;33
321;137
321;105
322;33
322;137
322;105
323;33
323;137
323;105
324;33
324;137
324;105
325;33
325;137
325;105
326;33
326;137
326;105
327;33
327;137
327;105
328;62
328;116
328;24
328;139
329;62
329;116
329;24
329;139
330;62
330;116
330;24
330;139
331;62
331;116
331;24
331;139
332;62
332;116
332;24
332;139
333;62
333;116
333;24
333;139
334;24
334;137
335;24
335;137
336;33
337;33
337;137
337;62
338;137
338;62
339;137
339;62
340;137
340;62
341;137
341;62
342;61
342;146
342;72
342;93
343;33
343;137
343;62
344;33
344;137
344;62
345;33
345;105
345;137
346;33
346;105
346;137
347;33
347;105
347;137
348;33
348;105
348;137
349;33
349;105
349;137
350;33
350;105
350;137
351;33
351;105
351;137
352;33
352;105
352;137
353;33
353;105
353;137
354;33
355;33
356;137
356;33
357;33
