﻿ingredient_id;nutrient_id;amount
1;1;326,00
1;2;2,00
1;3;28,00
1;4;48,00
1;5;12,00
1;6;18,00
1;7;0,16
1;8;6,00
1;9;44,00
1;10;22,00
1;11;0,00
1;12;259,00
1;13;677,00
1;14;394,00
1;15;5456,00
1;16;9639,00
1;17;964,00
1;18;641,00
1;19;16,00
1;20;88,00
1;21;0,00
1;22;52943,00
1;23;0,00
1;24;1083,00
1;25;100,00
1;26;92,00
1;27;1227,00
1;28;92,00
1;29;135,00
1;30;346,00
1;31;108,00
1;32;72,00
1;33;6818,00
1;34;1011,00
1;35;362,00
1;36;1262,00
1;37;44,00
1;38;12,00
1;39;0,00
1;40;0,00
1;41;0,00
1;42;0,00
1;43;6431,00
1;44;8339,00
1;45;0,00
1;46;14770,00
1;47;2859,00
1;48;0,00
1;49;0,00
1;50;2859,00
1;51;9525,00
1;52;0,00
1;53;0,00
1;54;19047,00
1;55;19047,00
1;56;74,22
1;57;1179,00
1;58;2023,00
1;59;1824,00
1;60;195,00
1;61;283,00
1;62;1179,00
1;63;928,00
1;64;956,00
1;65;251,00
1;66;1290,00
1;67;2385,00
1;68;673,00
1;69;13166,00
1;70;1151,00
1;71;3146,00
1;72;4241,00
1;73;1151,00
1;74;1179,00
1;75;1234,00
1;76;12102,00
1;77;167,00
1;78;70,00
1;79;653,00
1;80;462,00
1;81;0,71
1;82;0,00
1;83;0,00
1;84;0,00
1;85;0,00
1;86;0,00
1;87;0,00
1;88;0,00
1;89;358,00
1;90;0,00
1;91;64,00
1;92;0,00
1;93;0,00
1;94;0,00
1;95;422,00
1;96;0,00
1;97;0,00
1;98;8,00
1;99;0,00
1;100;60,00
1;101;0,00
1;102;0,00
1;103;0,00
1;104;68,00
1;105;0,00
1;106;0,00
1;107;462,00
1;108;653,00
1;109;0,00
1;110;0,00
1;111;0,00
1;112;0,00
1;113;0,00
1;114;0,00
1;115;0,00
1;116;0,00
1;117;0,00
1;118;0,00
1;119;0,00
1;120;1115,00
1;121;1605,00
1;122;402,00
1;123;0,00
1;124;0,00
1;125;0,00
1;126;1565,00
1;127;4213,00
1;128;1565,00
1;129;4452,00
1;130;239,00
1;131;6017,00
1;132;6017,00
1;133;0,00
1;134;1,00
1;135;3,20
1;136;6,00
1;137;2,00
1;138;25,80
2;1;232,00
2;2;2,00
2;3;26,00
2;4;27,00
2;5;28,00
2;6;1,00
2;7;0,08
2;8;11,00
2;9;6,00
2;10;3,00
2;11;0,00
2;12;38,00
2;13;334,00
2;14;214,00
2;15;2140,00
2;16;5657,00
2;17;699,00
2;18;324,00
2;19;7,00
2;20;73,00
2;21;0,00
2;22;720,00
2;23;0,00
2;24;181,00
2;25;108,00
2;26;9,00
2;27;954,00
2;28;98,00
2;29;180,00
2;30;412,00
2;31;137,00
2;32;68,00
2;33;5206,00
2;34;3030,00
2;35;691,00
2;36;1564,00
2;37;39,00
2;38;14,00
2;39;0,00
2;40;0,00
2;41;0,00
2;42;0,00
2;43;0,00
2;44;0,00
2;45;0,00
2;46;0,00
2;47;800,00
2;48;0,00
2;49;0,00
2;50;800,00
2;51;2135,00
2;52;3066,00
2;53;0,00
2;54;23748,00
2;55;23748,00
2;56;66,22
2;57;1053,00
2;58;1842,00
2;59;1684,00
2;60;185,00
2;61;211,00
2;62;1131,00
2;63;842,00
2;64;894,00
2;65;211,00
2;66;1157,00
2;67;2316,00
2;68;605,00
2;69;12131,00
2;70;1079,00
2;71;2947,00
2;72;3947,00
2;73;1079,00
2;74;1053,00
2;75;1185,00
2;76;11290,00
2;77;131,00
2;78;55,00
2;79;56,00
2;80;740,00
2;81;13,21
2;82;0,00
2;83;0,00
2;84;0,00
2;85;0,00
2;86;0,00
2;87;0,00
2;88;0,00
2;89;204,00
2;90;0,00
2;91;33,00
2;92;11,00
2;93;0,00
2;94;0,00
2;95;248,00
2;96;0,00
2;97;0,00
2;98;0,00
2;99;0,00
2;100;363,00
2;101;0,00
2;102;0,00
2;103;0,00
2;104;363,00
2;105;0,00
2;106;0,00
2;107;740,00
2;108;56,00
2;109;0,00
2;110;0,00
2;111;0,00
2;112;0,00
2;113;0,00
2;114;0,00
2;115;0,00
2;116;0,00
2;117;0,00
2;118;0,00
2;119;0,00
2;120;796,00
2;121;1407,00
2;122;408,00
2;123;0,00
2;124;0,00
2;125;0,00
2;126;3692,00
2;127;9939,00
2;128;3692,00
2;129;10505,00
2;130;568,00
2;131;14198,00
2;132;14198,00
2;133;0,00
2;134;0,30
2;135;2,80
2;136;14,20
2;137;1,80
2;138;23,90
3;1;32,00
3;2;1,00
3;3;4,00
3;4;2,00
3;5;2,00
3;6;1,00
3;7;0,02
3;8;91,00
3;9;16,00
3;10;8,00
3;11;0,00
3;12;96,00
3;13;76,00
3;14;126,00
3;15;500,00
3;16;1167,00
3;17;560,00
3;18;34,00
3;19;10,00
3;20;36,00
3;21;0,00
3;22;8200,00
3;23;0,00
3;24;90,00
3;25;5,00
3;26;6,00
3;27;79,00
3;28;32,00
3;29;27,00
3;30;70,00
3;31;50,00
3;32;10,00
3;33;1000,00
3;34;920,00
3;35;160,00
3;36;188,00
3;37;4,00
3;38;1,00
3;39;0,00
3;40;0,00
3;41;0,00
3;42;0,00
3;43;432,00
3;44;432,00
3;45;0,00
3;46;864,00
3;47;108,00
3;48;0,00
3;49;0,00
3;50;108,00
3;51;0,00
3;52;0,00
3;53;0,00
3;54;1188,00
3;55;1188,00
3;56;87,50
3;57;128,00
3;58;224,00
3;59;168,00
3;60;60,00
3;61;80,00
3;62;160,00
3;63;116,00
3;64;148,00
3;65;40,00
3;66;172,00
3;67;132,00
3;68;56,00
3;69;1484,00
3;70;188,00
3;71;436,00
3;72;320,00
3;73;164,00
3;74;252,00
3;75;156,00
3;76;1516,00
3;77;15,00
3;78;6,00
3;79;177,00
3;80;237,00
3;81;1,34
3;82;0,00
3;83;0,00
3;84;0,00
3;85;0,00
3;86;0,00
3;87;2,00
3;88;0,00
3;89;61,00
3;90;0,00
3;91;8,00
3;92;0,00
3;93;0,00
3;94;0,00
3;95;71,00
3;96;0,00
3;97;0,00
3;98;0,00
3;99;0,00
3;100;57,00
3;101;0,00
3;102;0,00
3;103;0,00
3;104;57,00
3;105;0,00
3;106;0,00
3;107;237,00
3;108;177,00
3;109;0,00
3;110;0,00
3;111;0,00
3;112;0,00
3;113;0,00
3;114;0,00
3;115;0,00
3;116;0,00
3;117;0,00
3;118;0,00
3;119;0,00
3;120;414,00
3;121;542,00
3;122;158,00
3;123;0,00
3;124;0,00
3;125;0,00
3;126;213,00
3;127;574,00
3;128;213,00
3;129;607,00
3;130;33,00
3;131;820,00
3;132;820,00
3;133;0,00
3;134;0,25
3;135;0,40
3;136;0,80
3;137;0,70
3;138;3,00
4;1;385,00
4;2;7,00
4;3;14,00
4;4;66,00
4;5;9,00
4;6;2,00
4;7;0,13
4;8;0,20
4;9;0,00
4;10;0,00
4;11;0,00
4;12;0,00
4;13;80,00
4;14;208,00
4;15;1286,00
4;16;4303,00
4;17;1047,00
4;18;223,00
4;19;1,00
4;20;49,00
4;21;0,00
4;22;4200,00
4;23;0,00
4;24;100,00
4;25;1,00
4;26;21,00
4;27;366,00
4;28;214,00
4;29;266,00
4;30;455,00
4;31;140,00
4;32;105,00
4;33;7590,00
4;34;3180,00
4;35;777,00
4;36;2260,00
4;37;50,00
4;38;3,00
4;39;0,00
4;40;0,00
4;41;0,00
4;42;0,00
4;43;0,00
4;44;0,00
4;45;0,00
4;46;0,00
4;47;1470,00
4;48;200,00
4;49;0,00
4;50;1670,00
4;51;662,00
4;52;330,00
4;53;0,00
4;54;55100,00
4;55;55100,00
4;56;102,93
4;57;582,00
4;58;879,00
4;59;747,00
4;60;226,00
4;61;310,00
4;62;542,00
4;63;329,00
4;64;558,00
4;65;181,00
4;66;679,00
4;67;1060,00
4;68;389,00
4;69;6482,00
4;70;799,00
4;71;1261,00
4;72;2259,00
4;73;1636,00
4;74;698,00
4;75;1148,00
4;76;7801,00
4;77;66,00
4;78;28,00
4;79;57,00
4;80;2834,00
4;81;49,72
4;82;0,00
4;83;0,00
4;84;0,00
4;85;0,00
4;86;0,00
4;87;11,00
4;88;0,00
4;89;1284,00
4;90;70,00
4;91;220,00
4;92;90,00
4;93;0,00
4;94;0,00
4;95;1675,00
4;96;0,00
4;97;0,00
4;98;28,00
4;99;0,00
4;100;1433,00
4;101;0,00
4;102;0,00
4;103;0,00
4;104;1461,00
4;105;0,00
4;106;0,00
4;107;2834,00
4;108;57,00
4;109;0,00
4;110;0,00
4;111;0,00
4;112;0,00
4;113;0,00
4;114;0,00
4;115;0,00
4;116;0,00
4;117;0,00
4;118;0,00
4;119;0,00
4;120;2891,00
4;121;6027,00
4;122;911,00
4;123;0,00
4;124;0,00
4;125;0,00
4;126;1023,00
4;127;4836,00
4;128;1488,00
4;129;1209,00
4;130;744,00
4;131;3441,00
4;132;5859,00
4;133;0,00
4;134;0,00
4;135;3,00
4;136;5,90
4;137;6,50
4;138;14,50
5;1;59,00
5;2;0,15
5;3;0,46
5;4;13,00
5;5;1,00
5;6;13,00
5;7;0,04
5;8;84,00
5;9;10,00
5;10;5,00
5;11;0,00
5;12;60,00
5;13;80,00
5;14;30,00
5;15;220,00
5;16;320,00
5;17;180,00
5;18;75,00
5;19;1,00
5;20;4,00
5;21;0,00
5;22;19000,00
5;23;0,00
5;24;100,00
5;25;10,00
5;26;2,00
5;27;173,00
5;28;16,00
5;29;17,00
5;30;9,00
5;31;3,00
5;32;39,00
5;33;400,00
5;34;260,00
5;35;80,00
5;36;110,00
5;37;14,00
5;38;1,00
5;39;0,00
5;40;0,00
5;41;0,00
5;42;0,00
5;43;2257,00
5;44;2585,00
5;45;0,00
5;46;4842,00
