﻿ingredients_id;months_id;seasonality_id
5;1;5
5;2;5
5;3;5
5;4;5
5;5;5
5;6;5
5;7;5
5;8;5
5;9;5
5;10;5
5;11;5
5;12;5
7;1;3
7;2;3
7;3;3
7;4;3
7;5;3
7;6;3
7;7;3
7;8;1
7;9;1
7;10;1
7;11;1
7;12;3
9;1;4
9;2;4
9;3;4
9;4;4
9;5;4
9;6;1
9;7;1
9;8;1
9;9;4
9;10;4
9;11;4
9;12;4
10;1;4
10;2;4
10;3;2
10;4;2
10;5;2
10;6;1
10;7;1
10;8;1
10;9;1
10;10;1
10;11;3
10;12;4
11;1;4
11;2;4
11;3;4
11;4;4
11;5;4
11;6;2
11;7;2
11;8;2
11;9;2
11;10;3
11;11;4
11;12;4
12;1;4
12;2;4
12;3;4
12;4;4
12;5;4
12;6;2
12;7;2
12;8;2
12;9;2
12;10;3
12;11;4
12;12;4
14;1;1
14;2;1
14;3;1
14;4;1
14;5;2
14;6;2
14;7;2
14;8;2
14;9;2
14;10;1
14;11;1
14;12;1
15;1;4
15;2;4
15;3;4
15;4;4
15;5;4
15;6;5
15;7;5
15;8;5
15;9;4
15;10;4
15;11;4
15;12;4
17;1;4
17;2;4
17;3;4
17;4;4
17;5;1
17;6;1
17;7;1
17;8;1
17;9;1
17;10;1
17;11;4
17;12;4
18;1;4
18;2;4
18;3;1
18;4;1
18;5;1
18;6;1
18;7;1
18;8;1
18;9;1
18;10;1
18;11;4
18;12;4
23;1;5
23;2;5
23;3;1
23;4;1
23;5;1
23;6;3
23;7;5
23;8;5
23;9;5
23;10;5
23;11;5
23;12;5
22;1;5
22;2;5
22;3;5
22;4;5
22;5;5
22;6;5
22;7;5
22;8;5
22;9;5
22;10;5
22;11;5
22;12;5
24;1;2
24;2;2
24;3;2
24;4;2
24;5;1
24;6;1
24;7;1
24;8;1
24;9;1
24;10;1
24;11;2
24;12;2
26;1;2
26;2;2
26;3;2
26;4;2
26;5;1
26;6;1
26;7;1
26;8;1
26;9;1
26;10;1
26;11;2
26;12;2
27;1;5
27;2;5
27;3;5
27;4;5
27;5;2
27;6;1
27;7;1
27;8;1
27;9;1
27;10;1
27;11;5
27;12;5
30;1;3
30;2;3
