ingredient_id;storage_id;amount;unit_code
1;6;365;d
2;3;365;d
3;2;3;d
4;6;365;d
5;1;5;d
5;5;5;d
6;7;730;d
7;1;30;d
7;4;60;d
7;5;14;d
8;7;365;d
9;1;5;d
9;5;3;d
10;1;5;d
11;1;5;d
12;1;5;d
13;6;365;d
14;1;5;d
15;1;3;d
15;5;3;d
16;6;365;d
17;2;3;d
18;2;3;d
19;6;180;d
20;7;730;d
21;7;365;d
22;5;5;d
23;1;5;d
23;2;3;d
24;2;5;d
24;5;1;d
25;7;730;d
26;2;5;d
27;2;3;d
27;5;1;d
28;3;365;d
29;6;365;d
30;1;30;d
30;4;60;d
30;5;14;d
31;1;7;d
31;4;30;d
32;2;4;d
33;1;7;d
33;5;2;d
34;1;7;d
34;5;2;d
35;1;7;d
35;5;2;d
36;1;7;d
36;5;2;d
37;3;365;d
38;1;21;d
38;4;30;d
38;5;14;d
39;2;5;d
39;5;1;d
40;1;7;d
40;5;3;d
41;6;365;d
42;3;365;d
43;1;5;d
43;5;2;d
44;3;365;d
45;2;3;d
46;2;3;d
46;5;1;d
47;1;5;d
48;6;365;d
49;6;180;d
50;6;180;d
51;6;365;d
52;2;3;d
53;6;365;d
54;6;365;d
55;6;365;d
56;6;365;d
57;6;365;d
58;6;365;d
59;6;365;d
60;6;90;d
61;6;180;d
62;7;730;d
63;1;5;d
64;1;5;d
65;6;365;d
66;1;5;d
66;5;5;d
67;6;365;d
68;1;5;d
69;7;730;d
70;7;730;d
71;1;5;d
72;1;10;d
72;4;30;d
72;5;7;d
73;1;10;d
73;4;30;d
73;5;7;d
74;1;21;d
74;4;30;d
74;5;14;d
75;6;365;d
76;1;5;d
76;5;3;d
77;7;730;d
78;7;730;d
79;6;365;d
80;2;5;d
80;5;1;d
81;7;730;d
82;6;365;d
83;6;180;d
84;6;180;d
85;6;365;d
86;6;365;d
87;6;365;d
88;6;365;d
89;6;365;d
90;6;365;d
91;6;365;d
92;1;5;d
92;5;5;d
93;6;365;d
94;6;365;d
95;2;7;d
96;6;365;d
97;6;365;d
98;6;365;d
99;2;4;d
100;1;5;d
101;6;365;d
102;6;365;d
103;3;365;d
104;2;3;d
104;3;90;d
104;6;365;d
105;2;5;d
105;6;90;d
106;6;365;d
107;2;3;d
108;2;3;d
108;5;1;d
109;3;365;d
110;6;365;d
111;6;365;d
112;6;180;d
113;2;5;d
113;5;1;d
114;7;730;d
115;1;5;d
115;5;3;d
116;2;4;d
117;1;30;d
117;4;60;d
117;5;14;d
118;1;5;d
119;7;730;d
120;6;365;d
121;2;4;d
122;1;5;d
122;4;90;d
123;7;730;d
124;1;14;d
124;4;60;d
124;5;10;d
125;6;365;d
126;6;365;d
127;6;180;d
128;5;3;d
129;6;365;d
130;1;30;d
130;4;60;d
130;5;14;d
131;1;21;d
131;4;30;d
131;5;14;d
132;1;21;d
132;4;30;d
132;5;14;d
133;6;365;d
134;6;180;d
135;1;10;d
135;4;30;d
136;1;10;d
136;4;30;d
137;3;365;d
138;2;3;d
139;1;5;d
139;5;5;d
140;5;3;d
141;7;365;d
142;6;365;d
143;6;180;d
144;2;14;d
145;6;180;d
146;6;180;d
147;6;365;d
148;6;90;d
149;6;365;d
150;7;730;d
151;6;180;d
152;6;365;d
153;6;90;d
154;6;180;d
155;7;730;d
156;7;730;d
