﻿id;ingredient_id;unit_code;amount
1;2;Stk;1,3
2;5;Stk;1500
3;7;Stk;150
4;9;Stk;45
5;10;Stk;300
6;11;Stk;300
7;12;Stk;280
8;13;Stk;0,25
9;14;Stk;30
10;15;Stk;200
11;16;Stk;0,2
12;22;Stk;120
13;27;Stk;3
14;28;Stk;4
15;29;Stk;0,05
16;30;Stk;160
17;38;Stk;200
18;42;Stk;4
19;46;Stk;7
20;58;Stk;0,6
21;59;Stk;2
22;63;Stk;20
23;64;Stk;20
24;66;Stk;300
25;67;Stk;0,002
26;74;Stk;80
27;76;Stk;2
28;79;Stk;9
29;92;Stk;350
30;93;Stk;0,3
31;101;Stk;0,1
32;102;Stk;0,1
33;103;Stk;0,13
34;104;Stk;0,15
35;108;Stk;15
36;109;Stk;17
37;110;Stk;1
38;111;Stk;0,6
39;115;Stk;50
40;117;Stk;2
41;128;Stk;50
42;129;Stk;0,3
43;130;Stk;250
44;131;Stk;300
45;132;Stk;300
46;139;Stk;250
47;140;Stk;350
48;149;Stk;0,02
49;152;Stk;1,2
50;157;Stk;2
51;158;Stk;2,5
52;159;Stk;4
53;160;Stk;5
54;162;Stk;1800
55;163;Stk;5
56;167;Stk;0,3
57;168;Stk;0,4
58;169;Stk;0,4
59;170;Stk;0,5
60;171;Stk;1,5
61;173;Stk;200
62;181;Stk;0,5
63;182;Stk;0,7
64;187;Stk;0,7
65;188;Stk;0,9
66;190;Stk;10
67;191;Stk;20
68;192;Stk;100
69;193;Stk;100
70;202;Stk;1500
71;211;Stk;30
72;216;Stk;800
73;217;Stk;1000
74;218;Stk;2000
75;219;Stk;1500
76;221;Stk;0,13
77;227;Stk;0,005
78;231;Stk;80
79;232;Stk;0,06
80;233;Stk;0,04
81;234;Stk;0,06
82;235;Stk;0,04
83;244;Stk;3
84;252;Stk;90
85;257;Stk;1
86;258;Stk;400
87;262;Stk;10
88;263;Stk;2
89;265;Stk;10
90;271;Stk;0,1
91;277;Stk;130
92;282;Stk;300
93;284;Stk;3
94;286;Stk;200
95;291;Stk;800
96;293;Stk;180
97;295;Stk;180
98;296;Stk;180
99;298;Stk;180
100;299;Stk;5
101;300;Stk;50
102;302;Stk;2
103;309;Stk;8
104;310;Stk;150
105;311;Stk;50
106;312;Stk;7
107;313;Stk;20
108;315;Stk;0,1
109;316;Stk;0,6
110;317;Stk;0,3
111;320;Stk;0,07
112;327;Stk;15
113;337;Stk;60
114;338;Stk;40
115;345;Stk;80
116;362;Stk;7
117;365;Stk;0,5
118;366;Stk;0,7
119;375;Stk;0,002
120;376;Stk;20
121;379;Stk;0,4
122;386;Stk;0,06
123;395;Stk;120
124;396;Stk;120
125;397;Stk;120
126;398;Stk;120
127;399;Stk;4
128;401;Stk;30
129;405;Stk;9
130;411;Stk;120
131;416;Stk;80
132;417;Stk;25
133;418;Stk;50
134;420;Stk;50
135;426;Stk;6
136;427;Stk;7
137;431;Stk;80
138;438;Stk;72
139;441;Stk;2,5
140;444;Stk;5000
141;446;Stk;0,6
142;447;Stk;0,8
143;463;Stk;100
144;467;Stk;200
145;468;Stk;200
146;469;Stk;300
147;471;Stk;40
148;1;Stk;1,2
149;443;L;1000
150;60;ml;1,02
151;85;ml;1,02
152;105;ml;1,02
153;147;ml;1,03
154;148;ml;1,01
155;153;ml;1,01
156;183;ml;0,6
157;199;ml;1,05
158;200;ml;1,04
159;242;ml;1,01
160;253;ml;1,05
161;254;ml;1
162;334;ml;1,01
163;343;ml;1,02
164;383;ml;0,72
165;384;ml;1,03
166;443;ml;1
167;6;EL;6
168;8;EL;15
169;19;EL;12
170;20;EL;6
171;21;EL;15
172;25;EL;6
