id;name;nutrients_categorie_id;unit_code;color;picture
1;Energie;1;kcal;;
2;Fett;2;g;#3498DB;
3;Eiweiß;2;g;#27AE60;
4;Kohlenhydrate;2;g;#F1C40F;
5;Ballaststoffe;2;g;#BA4A00;
6;Zucker;2;g;#F39C12;
7;Salz;2;g;#9B59B6;
8;Wasser;2;g;#154360;
9;Vitamin A Retinoläquivalent;3;ug;;
10;Vitamin A Retinolaktivitätsäquivalent;3;ug;;
11;Retinol;3;ug;;
12;Beta-Carotin;3;ug;;
13;Vitamin B1 Thiamin;3;ug;;
14;Vitamin B2 Riboflavin;3;ug;;
15;Vitamin B3 Niacin, Nicotinsäure;3;ug;;
16;Vitamin B3 Niacinäquivalent;3;ug;;
17;Vitamin B5 Pantothensäure;3;ug;;
18;Vitamin B6 Pyridoxin;3;ug;;
19;Vitamin B7 Biotin (Vitamin H);3;ug;;
20;Vitamin B9 gesamte Folsäure;3;ug;;
21;Vitamin B12 Cobalamin;3;ug;;
22;Vitamin C Ascorbinsäure;3;ug;;
23;Vitamin D Calciferole;3;ug;;
24;Vitamin E;3;ug;;
25;Vitamin K;3;ug;;
26;Natrium;4;mg;;
27;Kalium;4;mg;;
28;Calcium;4;mg;;
29;Magnesium;4;mg;;
30;Phosphor;4;mg;;
31;Schwefel;4;mg;;
32;Chlorid;4;mg;;
33;Eisen;5;ug;;
34;Zink;5;ug;;
35;Kupfer;5;ug;;
36;Mangan;5;ug;;
37;Fluorid;5;ug;;
38;Iodid;5;ug;;
39;Mannit;6;mg;;
40;Sorbit;6;mg;;
41;Xylit;6;mg;;
42;Summe Zuckeralkohole;6;mg;;
43;Glucose (Traubenzucker);6;mg;;
44;Fructose (Fruchtzucker);6;mg;;
45;Galactose (Schleimzucker);6;mg;;
46;Monosaccharide (1 M);6;mg;;
47;Saccharose (Rüben-Zucker);6;mg;;
48;Maltose (Malzzucker);6;mg;;
49;Lactose (Milchzucker);6;mg;;
50;Disaccharide (2 M);6;mg;;
51;Oligosaccharide, resorbierbar (3-9 M);6;mg;;
52;Oligosaccharide, nicht resorbierbar;6;mg;;
53;Glykogen (tierische Stärke);6;mg;;
54;Stärke;6;mg;;
55;Polysaccharide (> 9 M);6;mg;;
56;Chemical Score;7;%;;
57;Isoleucin;7;mg;;
58;Leucin;7;mg;;
59;Lysin;7;mg;;
60;Methionin;7;mg;;
61;Cystein;7;mg;;
62;Phenylalanin;7;mg;;
63;Tyrosin;7;mg;;
64;Threonin;7;mg;;
65;Tryptophan;7;mg;;
66;Valin;7;mg;;
67;Arginin;7;mg;;
68;Histidin;7;mg;;
69;Essentielle Aminosäuren gesamt;7;mg;;
70;Alanin;8;mg;;
71;Asparaginsäure;8;mg;;
72;Glutaminsäure;8;mg;;
73;Glycin;8;mg;;
74;Prolin;8;mg;;
75;Serin;8;mg;;
76;Nicht-essentielle Aminosäuren gesamt;8;mg;;
77;Harnsäure;8;mg;;
78;Purin;8;mg;;
79;Omega 3 Fettsäuren;9;mg;;
80;Omega 6 Fettsäuren;9;mg;;
81;Omega 6:3 Verhältnis;9;mg;;
82;Butansäure / Buttersäure;9;mg;;
83;Hexansäure / Capronsäure;9;mg;;
84;Octansäure / Caprylsäure;9;mg;;
85;Decansäure / Caprinsäure;9;mg;;
86;Dodecansäure / Laurinsäure;9;mg;;
87;Tetradecansäure / Myristinsäure;9;mg;;
88;Pentadecansäure;9;mg;;
89;Hexadecansäure / Palmitinsäure;9;mg;;
90;Heptadecansäure;9;mg;;
91;Octadecansäure / Stearinsäure;9;mg;;
92;Eicosansäure / Arachinsäure;9;mg;;
93;Decosansäure / Behensäure;9;mg;;
94;Tetracosansäure / Lignocerinsäure;9;mg;;
95;Gesättigte Fettsäuren;9;mg;#4DA5E0;
96;Tetradecensäure;9;mg;;
97;Pentadecensäure;9;mg;;
98;Hexadecensäure / Palmitoleinsäure;9;mg;;
99;Heptadecensäure;9;mg;;
100;Octadecensäure / Ölsäure Omega 9;9;mg;;
101;Eicosensäure;9;mg;;
102;Decosensäure / Erucasäure Omega 9;9;mg;;
103;Tetracosensäure / Nervonsäure Omega 9;9;mg;;
104;Einfach ungesättigte Fettsäuren;9;mg;#74B9E7;
105;Hexadecadiensäure;9;mg;;
106;Hexadecatetraensäure;9;mg;;
107;Octadecadiensäure / Linolsäure Omega 6;9;mg;;
108;ALA - Linolensäure Omega 3;9;mg;;
109;Stearidonsäure Omega 3;9;mg;;
110;Nonadecatriensäure;9;mg;;
111;Eicosadiensäure Omega 6;9;mg;;
112;Eicosatriensäure Omega 6;9;mg;;
113;Eicosatetraensäure / Arachidonsäure Omega 6;9;mg;;
114;EPA - Eicosapentaensäure Omega 3;9;mg;;
115;Docosadiensäure;9;mg;;
116;Docosatriensäure;9;mg;;
117;Docosatetraensäure;9;mg;;
118;Docosapentaensäure Omega 3;9;mg;;
119;DHA - Docosahexaensäure Omega 3;9;mg;;
120;Mehrfach ungesättigte Fettsäuren;9;mg;#9BCDED;
121;Langkettige Fettsäuren;9;mg;;
122;Glycerin und Lipoide;9;mg;;
123;Cholesterin;9;mg;;
124;Kurzkettige Fettsäuren;9;mg;;
125;Mittelkettige Fettsäuren;9;mg;;
126;Poly-Pentosen;10;mg;;
127;Poly-Hexosen;10;mg;;
128;Poly-Uronsäure;10;mg;;
129;Cellulose;10;mg;;
130;Lignin;10;mg;;
131;Wasserlösliche Ballaststoffe;10;mg;;
132;Wasserunlösliche Ballaststoffe;10;mg;;
133;Alkohol;11;g;;
134;Säuren (organisch);11;g;;
135;Rohasche;11;g;;
136;Rohfaser;11;g;;
137;Rohfett;11;g;;
138;Rohprotein;11;g;;
