﻿id;age_group_id;is_pregnant;is_breastfeeding;gender_id;nutrient_id;activity_level_id;unit_id;lower_limit;target;upper_limit;description;foot_note
1;1;0;0;2;133;;;;;0;Kinder und Jugendliche sollen keinen Alkohol trinken.;
2;1;0;0;1;133;;;;;0;Kinder und Jugendliche sollen keinen Alkohol trinken.;
3;2;0;0;2;133;;;;;0;Kinder und Jugendliche sollen keinen Alkohol trinken.;
4;2;0;0;1;133;;;;;0;Kinder und Jugendliche sollen keinen Alkohol trinken.;
5;3;0;0;2;133;;;;;0;Kinder und Jugendliche sollen keinen Alkohol trinken.;
6;3;0;0;1;133;;;;;0;Kinder und Jugendliche sollen keinen Alkohol trinken.;
7;4;0;0;2;133;;;;;0;Kinder und Jugendliche sollen keinen Alkohol trinken.;
8;4;0;0;1;133;;;;;0;Kinder und Jugendliche sollen keinen Alkohol trinken.;
9;5;0;0;2;133;;;;;0;Kinder und Jugendliche sollen keinen Alkohol trinken.;
10;5;0;0;1;133;;;;;0;Kinder und Jugendliche sollen keinen Alkohol trinken.;
11;6;0;0;2;133;;;;;0;Kinder und Jugendliche sollen keinen Alkohol trinken.;
12;6;0;0;1;133;;;;;0;Kinder und Jugendliche sollen keinen Alkohol trinken.;
13;7;0;0;2;133;;;;;0;Es gibt keine potenziell gesundheitsfördernde und sichere Alkoholmenge für einen unbedenklichen Konsum. Die DGE empfiehlt daher, auf alkoholische Getränke zu verzichten.;
14;7;0;0;1;133;;;;;0;Es gibt keine potenziell gesundheitsfördernde und sichere Alkoholmenge für einen unbedenklichen Konsum. Die DGE empfiehlt daher, auf alkoholische Getränke zu verzichten.;
15;8;0;0;2;133;;;;;0;Es gibt keine potenziell gesundheitsfördernde und sichere Alkoholmenge für einen unbedenklichen Konsum. Die DGE empfiehlt daher, auf alkoholische Getränke zu verzichten.;
16;8;0;0;1;133;;;;;0;Es gibt keine potenziell gesundheitsfördernde und sichere Alkoholmenge für einen unbedenklichen Konsum. Die DGE empfiehlt daher, auf alkoholische Getränke zu verzichten.;
17;9;0;0;2;133;;;;;0;Es gibt keine potenziell gesundheitsfördernde und sichere Alkoholmenge für einen unbedenklichen Konsum. Die DGE empfiehlt daher, auf alkoholische Getränke zu verzichten.;
18;9;0;0;1;133;;;;;0;Es gibt keine potenziell gesundheitsfördernde und sichere Alkoholmenge für einen unbedenklichen Konsum. Die DGE empfiehlt daher, auf alkoholische Getränke zu verzichten.;
19;10;0;0;2;133;;;;;0;Es gibt keine potenziell gesundheitsfördernde und sichere Alkoholmenge für einen unbedenklichen Konsum. Die DGE empfiehlt daher, auf alkoholische Getränke zu verzichten.;
20;10;0;0;1;133;;;;;0;Es gibt keine potenziell gesundheitsfördernde und sichere Alkoholmenge für einen unbedenklichen Konsum. Die DGE empfiehlt daher, auf alkoholische Getränke zu verzichten.;
21;8;1;0;1;133;;;;;0;Schwangere sollen keinen Alkohol trinken.;
22;8;1;0;1;133;;;;;0;Schwangere sollen keinen Alkohol trinken.;
23;8;1;0;1;133;;;;;0;Schwangere sollen keinen Alkohol trinken.;
24;8;0;1;1;133;;;;;0;Stillende sollen keinen Alkohol trinken.;
25;1;0;0;2;5;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
26;1;0;0;1;5;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
27;2;0;0;2;5;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
28;2;0;0;1;5;;;;;;Für diese Altersgruppe liegt kein Referenzwert vor.;"Der Richtwert für die Ballaststoffzufuhr gilt für Frauen und Männer gleichermaßen; die Ableitung eines geschlechtsspezifischen Richtwerts ist derzeit nicht möglich. Frauen und Männer sollten dieselbe Ballaststoffzufuhr pro 1000 kcal (Ballaststoffdichte) anstreben. Bei einer mittleren Energiezufuhr von 2050 kcal/Tag – dem Mittel aus Zufuhrwerten für Energie für 25–50-jährige Männer (2300 kcal/Tag) und Frauen (1800 kcal/Tag) mit einem PAL-Wert von 1,4 – entspricht dies einer anzustrebenden Ballaststoffdichte von etwa 14,6 g/1000 kcal bzw. 3,5 g/MJ."
