﻿Bevölkerungsgruppe;age_group_id;is_pregnant;is_breastfeeding;Geschlecht;gender_id;Nährstoff;nutrient_id;activity_level_id;Referenzwert;lower_limit;target;upper_limit;Einheit;unit_code;Bemerkung;Kategorie;Fussnoten;foot_note
1 bis unter 4 Jahre;1;;;Männlich;2;Alkohol;133;;-;;;0;;;Kinder und Jugendliche sollen keinen Alkohol trinken.;;;
1 bis unter 4 Jahre;1;;;Weiblich;1;Alkohol;133;;-;;;0;;;Kinder und Jugendliche sollen keinen Alkohol trinken.;;;
4 bis unter 7 Jahre;2;;;Männlich;2;Alkohol;133;;-;;;0;;;Kinder und Jugendliche sollen keinen Alkohol trinken.;;;
4 bis unter 7 Jahre;2;;;Weiblich;1;Alkohol;133;;-;;;0;;;Kinder und Jugendliche sollen keinen Alkohol trinken.;;;
7 bis unter 10 Jahre;3;;;Männlich;2;Alkohol;133;;-;;;0;;;Kinder und Jugendliche sollen keinen Alkohol trinken.;;;
7 bis unter 10 Jahre;3;;;Weiblich;1;Alkohol;133;;-;;;0;;;Kinder und Jugendliche sollen keinen Alkohol trinken.;;;
10 bis unter 13 Jahre;4;;;Männlich;2;Alkohol;133;;-;;;0;;;Kinder und Jugendliche sollen keinen Alkohol trinken.;;;
10 bis unter 13 Jahre;4;;;Weiblich;1;Alkohol;133;;-;;;0;;;Kinder und Jugendliche sollen keinen Alkohol trinken.;;;
13 bis unter 15 Jahre;5;;;Männlich;2;Alkohol;133;;-;;;0;;;Kinder und Jugendliche sollen keinen Alkohol trinken.;;;
13 bis unter 15 Jahre;5;;;Weiblich;1;Alkohol;133;;-;;;0;;;Kinder und Jugendliche sollen keinen Alkohol trinken.;;;
15 bis unter 19 Jahre;6;;;Männlich;2;Alkohol;133;;-;;;0;;;Kinder und Jugendliche sollen keinen Alkohol trinken.;;;
15 bis unter 19 Jahre;6;;;Weiblich;1;Alkohol;133;;-;;;0;;;Kinder und Jugendliche sollen keinen Alkohol trinken.;;;
19 bis unter 25 Jahre;7;;;Männlich;2;Alkohol;133;;-;;;0;;;Es gibt keine potenziell gesundheitsfördernde und sichere Alkoholmenge für einen unbedenklichen Konsum. Die DGE empfiehlt daher, auf alkoholische Getränke zu verzichten.;;;
19 bis unter 25 Jahre;7;;;Weiblich;1;Alkohol;133;;-;;;0;;;Es gibt keine potenziell gesundheitsfördernde und sichere Alkoholmenge für einen unbedenklichen Konsum. Die DGE empfiehlt daher, auf alkoholische Getränke zu verzichten.;;;
25 bis unter 51 Jahre;8;;;Männlich;2;Alkohol;133;;-;;;0;;;Es gibt keine potenziell gesundheitsfördernde und sichere Alkoholmenge für einen unbedenklichen Konsum. Die DGE empfiehlt daher, auf alkoholische Getränke zu verzichten.;;;
25 bis unter 51 Jahre;8;;;Weiblich;1;Alkohol;133;;-;;;0;;;Es gibt keine potenziell gesundheitsfördernde und sichere Alkoholmenge für einen unbedenklichen Konsum. Die DGE empfiehlt daher, auf alkoholische Getränke zu verzichten.;;;
51 bis unter 65 Jahre;9;;;Männlich;2;Alkohol;133;;-;;;0;;;Es gibt keine potenziell gesundheitsfördernde und sichere Alkoholmenge für einen unbedenklichen Konsum. Die DGE empfiehlt daher, auf alkoholische Getränke zu verzichten.;;;
51 bis unter 65 Jahre;9;;;Weiblich;1;Alkohol;133;;-;;;0;;;Es gibt keine potenziell gesundheitsfördernde und sichere Alkoholmenge für einen unbedenklichen Konsum. Die DGE empfiehlt daher, auf alkoholische Getränke zu verzichten.;;;
65 Jahre und älter;10;;;Männlich;2;Alkohol;133;;-;;;0;;;Es gibt keine potenziell gesundheitsfördernde und sichere Alkoholmenge für einen unbedenklichen Konsum. Die DGE empfiehlt daher, auf alkoholische Getränke zu verzichten.;;;
65 Jahre und älter;10;;;Weiblich;1;Alkohol;133;;-;;;0;;;Es gibt keine potenziell gesundheitsfördernde und sichere Alkoholmenge für einen unbedenklichen Konsum. Die DGE empfiehlt daher, auf alkoholische Getränke zu verzichten.;;;
1. Trimester;8;1;;Weiblich;1;Alkohol;133;;-;;;0;;;Schwangere sollen keinen Alkohol trinken.;;;
2. Trimester;8;1;;Weiblich;1;Alkohol;133;;-;;;0;;;Schwangere sollen keinen Alkohol trinken.;;;
3. Trimester;8;1;;Weiblich;1;Alkohol;133;;-;;;0;;;Schwangere sollen keinen Alkohol trinken.;;;
Stillende;8;;1;Weiblich;1;Alkohol;133;;-;;;0;;;Stillende sollen keinen Alkohol trinken.;;;
