﻿id;name;picture;color
1;Dennree;assets/images/shop/dennree.webp;#779a46
2;Davert;assets/images/shop/davert.webp;#fec400
3;Rapunzel;assets/images/shop/rapunzel.webp;#ffdb02
4;Naturata;assets/images/shop/naturata.webp;#006659
5;Morgenland;assets/images/shop/morgenland.webp;#113274
6;Spielberger Mühle;assets/images/shop/spielberger.webp;#ffffff
7;Sonnentor;assets/images/shop/sonnentor.webp;#ffffff
8;Byodo;assets/images/shop/byodo.webp;#017b4c
9;Arche Naturküche;assets/images/shop/arche.webp;#ffffff
10;Yakso;assets/images/shop/yakso.webp;#ffffff
11;Soto;assets/images/shop/Soto.webp;#86bc25
12;Koro;assets/images/shop/Koro.webp;#f2dfcc
13;Naturalcool;assets/images/shop/naturalcool.webp;#0d6533
14;Lima;assets/images/shop/lima.webp;#ffffff
15;tempehmanufaktur;assets/images/shop/tempehmanufaktur.webp;#efe2b9
16;peaceful delicious;assets/images/shop/peaceful_delicious.webp;#aac891
17;Alnatura;assets/images/shop/alnatura.webp;#fffbe6
18;Reformhaus;assets/images/shop/reformhaus.webp;#ffffff
19;Sunday Natural;assets/images/shop/sunday_natural.webp;#ffffff
20;Watson Nutrition;assets/images/shop/watson_nutrition.webp;#ffffff
21;Rewe bio;assets/images/shop/rewe_bio.webp;#ecdab6
22;Edeka bio;assets/images/shop/edeka_bio.webp;#ffffff
23;Rewe Beste Wahl;assets/images/shop/rewe_beste_wahl.webp;#d02629
24;Edeka Herzstücke;assets/images/shop/edeka_herzstuecke.webp;#272a4e
25;ja!;;
26;taifun;;
27;Sojade;;
