id;name;ingredient_name;ingredient_id;producer_name;producer_id;image;favorite;EAN;bio;size_number;size_unit_code;yield_unit_code;yield_amount;;;;;;;;;;;;;;;;;;;
1;Haselnusskerne, geröstet, gemahlen;Haselnusskerne;152;Dennree;1;assets/images/products/dennree/898266.front.webp;0;;1;1;Pkg.;g;200;;;;;;;;;;;;;;;;;;;
2;Mandelkerne, blanchiert, fein gehackt;Mandeln;257;Dennree;1;assets/images/products/dennree/455679.front.webp;0;;1;1;Pkg.;g;100;;;;;;;;;;;;;;;;;;;
3;Walnüsse, gemahlen;Walnusskerne;441;Dennree;1;assets/images/products/dennree/457773.front.webp;0;;1;1;Pkg.;g;200;;;;;;;;;;;;;;;;;;;
4;Trockenbackhefe;Hefe;155;Dennree;1;assets/images/products/dennree/611965.front.webp;0;;1;3;Pkg.;g;27;;;;;;;;;;;;;;;;;;;
5;Backpulver Reinweinstein;Backpulver;19;Dennree;1;assets/images/products/dennree/611739.front.webp;0;;1;4;Pkg.;g;80;;;;;;;;;;;;;;;;;;;
6;Kakaopulver;Kakaopulver;172;Dennree;1;assets/images/products/dennree/495584.front.webp;0;;1;1;Pkg.;g;150;;;;;;;;;;;;;;;;;;;
7;Kokosraspel;Kokosraspeln;203;Dennree;1;assets/images/products/dennree/457817.front.webp;0;;1;1;Pkg.;g;250;;;;;;;;;;;;;;;;;;;
8;Cashewmus;Cashewmus;61;Dennree;1;assets/images/products/dennree/411985.front.webp;0;;1;1;Gl.;g;350;;;;;;;;;;;;;;;;;;;
9;Erdnussmus fein;Erdnussmus;112;Dennree;1;assets/images/products/dennree/411996.front.webp;0;;1;1;Gl.;g;350;;;;;;;;;;;;;;;;;;;
10;Mandelmus braun;Mandelmus braun;255;Dennree;1;assets/images/products/dennree/411579.front.webp;0;;1;1;Gl.;g;350;;;;;;;;;;;;;;;;;;;
11;Mandelmus weiß;Mandelmus weiß;256;Dennree;1;assets/images/products/dennree/411399.front.webp;0;;1;1;Gl.;g;350;;;;;;;;;;;;;;;;;;;
12;Tahin Sesammus;Tahini;408;Dennree;1;assets/images/products/dennree/408328.front.webp;0;;1;1;Gl.;g;250;;;;;;;;;;;;;;;;;;;
13;6-Korn-Flocken;Vollkornflocken;433;Dennree;1;assets/images/products/dennree/430716.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
14;Dinkelflocken Großblatt;Dinkelflocken;83;Dennree;1;assets/images/products/dennree/430751.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
15;Dinkelflocken Kleinblatt;Dinkelflocken;83;Dennree;1;assets/images/products/dennree/430299.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
16;Emmerflocken Großblatt;Weizenflocken;450;Dennree;1;assets/images/products/dennree/432977.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
17;Haferflocken Großblatt;Haferflocken;143;Dennree;1;assets/images/products/dennree/430727.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
18;Haferflocken Kleinblatt;Haferflocken;143;Dennree;1;assets/images/products/dennree/430705.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
19;Apfelessig naturtrüb;Apfel-Essig;8;Dennree;1;assets/images/products/dennree/580217.front.webp;0;;1;1;Fl.;L;0,75;;;;;;;;;;;;;;;;;;;
20;Olivenöl nativ extra;Olivenöl;285;Dennree;1;assets/images/products/dennree/585134.front.webp;0;;1;1;Fl.;L;1;;;;;;;;;;;;;;;;;;;
21;Rapsöl nativ, kalt gepresst;Rapsöl;329;Dennree;1;assets/images/products/dennree/584245.front.webp;0;;1;1;Fl.;L;0,5;;;;;;;;;;;;;;;;;;;
22;Erbsen fein;Erbsen grün, gekocht;104;Dennree;1;assets/images/products/dennree/590376.front.webp;0;;1;1;Gl.;g;680;;;;;;;;;;;;;;;;;;;
23;Gewürzgurken;Gewürzgurken;128;Dennree;1;assets/images/products/dennree/590501.front.webp;0;;1;1;Gl.;g;670;;;;;;;;;;;;;;;;;;;
24;Kichererbsen;Kichererbsen, gekocht;182;Dennree;1;assets/images/products/dennree/591298.front.webp;0;;1;1;Gl.;g;350;;;;;;;;;;;;;;;;;;;
25;Sauerkraut;Sauerkraut;363;Dennree;1;assets/images/products/dennree/590499.front.webp;0;;1;1;Gl.;g;680;;;;;;;;;;;;;;;;;;;
26;Süßlupinen;Lupinenkerne, gekocht;241;Dennree;1;assets/images/products/dennree/591333.front.webp;0;;1;1;Gl.;g;340;;;;;;;;;;;;;;;;;;;
27;Süßmais;Mais, gekocht;246;Dennree;1;assets/images/products/dennree/590411.front.webp;0;;1;1;Gl.;g;330;;;;;;;;;;;;;;;;;;;
28;Amaranth;Amaranth;4;Dennree;1;assets/images/products/dennree/500883.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
29;Buchweizen;Buchweizen;48;Dennree;1;assets/images/products/dennree/501074.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
30;Dinkel;Dinkel;82;Dennree;1;assets/images/products/dennree/501017.front.webp;0;;1;1;Pkg.;g;1000;;;;;;;;;;;;;;;;;;;
31;Grünkern;Grünkern;133;Dennree;1;assets/images/products/dennree/501052.front.webp;0;;1;1;Pkg.;g;500;;;;;;;;;;;;;;;;;;;
32;Hafer geschält;Hafer;142;Dennree;1;assets/images/products/dennree/501085.front.webp;0;;1;1;Pkg.;g;1000;;;;;;;;;;;;;;;;;;;
33;Hirse;Hirse;161;Dennree;1;assets/images/products/dennree/501039.front.webp;0;;1;1;Pkg.;g;1000;;;;;;;;;;;;;;;;;;;
34;Roggen;Roggen;340;Dennree;1;assets/images/products/dennree/501041.front.webp;0;;1;1;Pkg.;g;1000;;;;;;;;;;;;;;;;;;;
