﻿id;name;recipe_category;picture;portion_number;portion_unit;cook_counter;favorite;bookmark;last cooked;last_updated;inspired_by;description;tip
1;Quinoa-Blumenkohl-Kitchari;1;assets/images/recipes/quinoa-blumenkohl-kitchari.webp;3;Port.;0;0;0;;;https://nutritionfacts.org/book/how-not-to-die-cookbook/;Das ist ein sehr gutes Rezept. Man kann es kaum glauben, wie gut das ist.;Sehr hilfreiche Tips kann man dann hier lesen.
2;Okra-Kidneybohnen-Gumbo;1;assets/images/recipes/okra-kidneybohnen-gumbo.webp;3;Port.;0;0;0;;;;;
3;Brokkoli-Edamame-Pfanne mit Buchweizen;1;assets/images/recipes/brokkoli-edamame-pfanne_mit_buchweizen.webp;3;Port.;0;0;0;;;;;
4;Kichererbsen-Chili;1;assets/images/recipes/kichererbsen-chili.webp;3;Port.;0;0;0;;;;;
5;Blumenkohl-Linsen-Curry mit Rhababer;1;assets/images/recipes/blumenkohl-linsen-curry_mit_rhababer.webp;3;Port.;0;0;0;;;;;
6;Seitan-Gulasch mit Brechbohnen;1;assets/images/recipes/seitan-gulasch_mit_brechbohnen.webp;3;Port.;0;0;0;;;;;
7;Blumenkohl-Hack mit Lauch & Erbsen;1;assets/images/recipes/blumenkohl-hack_mit_lauch_&_erbsen.webp;3;Port.;0;0;0;;;;;
8;Blumenkohl-Süßkartoffel-Curry;1;assets/images/recipes/blumenkohl-suesskartoffel-curry.webp;3;Port.;0;0;0;;;;;
9;Brokkoli-Spinat-Linsencurry;1;assets/images/recipes/brokkoli-spinat-linsencurry.webp;3;Port.;0;0;0;;;;;
10;Chili-sin-carne mit Blumenkohl;1;assets/images/recipes/chili-sin-carne_mit_blumenkohl.webp;3;Port.;0;0;0;;;;;
11;goldener Hafer mit Brokkoli & schwarzen Bohnen;1;assets/images/recipes/goldener_hafer_mit_brokkoli_&_schwarzen_bohnen.webp;3;Port.;0;0;0;;;;;
12;Three-Bean Chili;1;assets/images/recipes/three-bean_chili.webp;3;Port.;0;0;0;;;;;
13;Kichererbsen-Bohnen-Gemüse-Tajine;1;assets/images/recipes/kichererbsen-bohnen-gemuese-tajine.webp;3;Port.;0;0;0;;;;;
14;Brokkoli-Pilz-Pfanne mit Linsen & Bulgur;1;assets/images/recipes/brokkoli-pilz-pfanne_mit_linsen_&_bulgur.webp;3;Port.;0;0;0;;;;;
15;Blumenkohl-Bananen-Curry;1;assets/images/recipes/blumenkohl-bananen-curry.webp;3;Port.;0;0;0;;;;;
16;Tomaten-Brokkoli-Pfanne mit Kichererbsen;1;assets/images/recipes/tomaten-brokkoli-pfanne_mit_kichererbsen.webp;3;Port.;0;0;0;;;;;
