﻿id;recipe_id;ingredient_id;unit_code;amount
1;1;33;g;900
2;1;473;Kn.;3
3;1;194;Zh.;5
4;1;163;Stk;1
5;1;321;g;300
6;1;273;g;150
7;1;102;g;150
8;1;281;g;20
9;1;377;EL;1
10;1;8;EL;2
11;1;443;ml;800
14;1;223;TL;3
15;1;294;TL;2
16;1;208;TL;1
17;1;214;TL;1
18;1;305;TL;1
26;2;283;g;500
27;2;468;g;300
28;2;295;Stk;1
29;2;298;Stk;1
30;2;473;Kn.;3
31;2;194;Zh.;5
32;2;122;Stgl.;3
33;2;434;g;300
34;2;187;g;200
35;2;423;g;650
36;2;281;g;20
37;2;377;EL;1
38;2;8;EL;2
39;2;443;ml;400
42;2;305;TL;1
43;2;62;TL;1
44;2;69;TL;2
45;2;288;TL;2
46;2;415;TL;1
47;2;351;TL;1
48;2;195;TL;1
51;3;43;g;900
52;3;267;Rüb.;3
53;3;295;Stk;2
54;3;473;Kn.;2
55;3;194;Zh.;3
56;3;163;Stk;1
57;3;122;Stgl.;2
58;3;48;g;300
59;3;93;g;300
60;3;112;g;20
61;3;333;EL;2
62;3;377;EL;2
63;3;443;ml;50
66;3;77;TL;3
67;3;294;TL;3
68;3;305;TL;2
69;3;62;TL;2
70;3;69;TL;2
71;3;223;TL;2
72;3;214;TL;1
76;4;400;g;300
77;4;267;Rüb.;3
78;4;298;Stk;2
79;4;473;Kn.;3
80;4;194;Zh.;5
81;4;163;Stk;1
82;4;434;g;300
83;4;181;g;200
84;4;423;g;800
85;4;281;g;20
86;4;377;EL;1
87;4;8;EL;2
88;4;443;ml;200
91;4;305;TL;2
92;4;294;TL;3
93;4;288;TL;2
94;4;62;TL;2
95;4;69;TL;2
96;4;214;TL;2
101;5;33;g;900
102;5;337;g;400
103;5;473;Kn.;3
104;5;194;Zh.;5
105;5;163;Stk;2
106;5;434;g;300
107;5;232;g;200
108;5;281;g;25
109;5;377;EL;1
110;5;8;EL;2
111;5;443;ml;150
114;5;77;TL;6
115;5;305;TL;2
116;5;223;TL;3
117;5;294;TL;2
118;5;208;TL;2
119;5;214;TL;2
120;5;462;TL;1
121;5;69;TL;1
126;6;267;Rüb.;3
127;6;298;Stk;2
128;6;473;Kn.;2
129;6;194;Zh.;4
130;6;423;g;650
131;6;42;g;450
132;6;370;g;150
133;6;434;g;300
134;6;281;g;20
135;6;422;g;30
136;6;377;EL;2
137;6;21;EL;2
138;6;443;ml;300
141;6;238;Stk;3
142;6;305;TL;2
143;6;62;TL;2
144;6;415;TL;3
145;6;294;TL;3
146;6;288;TL;2
147;6;214;TL;1
148;6;407;TL;1
151;7;33;g;900
152;7;224;Stg.;1
153;7;473;Kn.;2
154;7;194;Zh.;3
155;7;163;Stk;1
156;7;392;g;300
157;7;102;g;200
158;7;434;g;300
159;7;422;g;30
160;7;256;g;20
161;7;377;EL;1
162;7;21;EL;2
163;7;443;ml;300
166;7;305;TL;2
167;7;294;TL;3
168;7;288;TL;3
169;7;223;TL;2
170;7;214;TL;2
171;7;69;TL;1
172;7;62;TL;1
176;8;33;g;900
177;8;403;g;600
178;8;473;Kn.;2
179;8;194;Zh.;3
180;8;163;Stk;2
181;8;434;g;300
182;8;365;g;200
183;8;281;g;25
184;8;377;EL;1
185;8;8;EL;2
186;8;443;ml;400
189;8;77;TL;4
190;8;305;TL;2
191;8;223;TL;2
192;8;294;TL;2
193;8;208;TL;2
194;8;214;TL;2
195;8;462;TL;1
196;8;69;TL;1
201;9;43;g;900
202;9;473;Kn.;2
203;9;194;Zh.;5
204;9;163;Stk;1
205;9;392;g;450
206;9;232;g;200
207;9;434;g;300
208;9;281;g;20
209;9;422;g;30
210;9;377;EL;1
211;9;8;EL;2
212;9;443;ml;850
215;9;305;TL;2
216;9;77;TL;7
217;9;223;TL;3
218;9;208;TL;2
219;9;69;TL;1
220;9;214;TL;2
221;9;62;TL;1
226;10;33;g;750
227;10;298;Stk;3
228;10;473;Kn.;2
229;10;194;Zh.;3
230;10;122;Stgl.;2
231;10;434;g;300
232;10;187;g;200
233;10;245;g;150
234;10;423;g;650
235;10;422;g;30
236;10;281;g;15
237;10;377;EL;1
238;10;409;EL;1
239;10;21;EL;2
240;10;443;ml;400
243;10;305;TL;2
244;10;294;TL;3
245;10;62;TL;2
246;10;407;TL;1
247;10;214;TL;2
248;10;69;TL;1
249;10;288;TL;3
251;11;43;g;900
252;11;473;Kn.;3
253;11;194;Zh.;5
254;11;163;Stk;1
255;11;142;g;300
256;11;365;g;200
257;11;61;g;20
258;11;156;EL;2
259;11;377;EL;1
260;11;8;EL;2
261;11;443;ml;100
264;11;223;TL;5
265;11;305;TL;1
266;11;62;TL;1
267;11;294;TL;2
268;11;214;TL;2
269;11;208;TL;2
276;12;63;g;400
277;12;298;Stk;2
278;12;473;Kn.;2
279;12;194;Zh.;3
280;12;434;g;300
281;12;187;g;100
282;12;365;g;100
283;12;232;g;100
284;12;423;g;800
285;12;422;g;30
286;12;281;g;20
287;12;377;EL;1
288;12;8;EL;2
289;12;443;ml;150
292;12;305;TL;2
293;12;294;TL;3
294;12;288;TL;2
295;12;223;TL;1
296;12;214;TL;1
297;12;69;TL;2
298;12;62;TL;1
301;13;267;Rüb.;3
302;13;295;Stk;2
303;13;63;g;400
304;13;473;Kn.;2
305;13;194;Zh.;3
306;13;163;Stk;1
307;13;42;g;300
308;13;434;g;300
309;13;181;g;150
310;13;281;g;20
311;13;422;g;30
312;13;377;EL;1
313;13;8;EL;2
314;13;443;ml;400
317;13;294;TL;3
318;13;305;TL;2
319;13;69;TL;2
320;13;62;TL;2
321;13;223;TL;2
322;13;214;TL;1
323;13;462;TL;1
326;14;43;g;900
327;14;63;g;300
328;14;290;g;400
329;14;473;Kn.;2
330;14;194;Zh.;3
331;14;122;Stgl.;3
332;14;29;g;200
333;14;53;g;300
334;14;281;g;30
335;14;377;EL;1
336;14;21;EL;2
337;14;443;ml;400
340;14;305;TL;2
341;14;288;TL;3
342;14;294;TL;3
343;14;214;TL;2
344;14;69;TL;1
345;14;62;TL;1
351;15;33;g;900
352;15;267;Rüb.;3
353;15;22;Stk;2
354;15;472;Kn.;2
355;15;194;Zh.;3
356;15;163;Stk;1
357;15;434;g;300
358;15;446;g;200
359;15;61;g;30
360;15;377;EL;1
361;15;8;EL;2
362;15;443;ml;500
365;15;77;TL;6
366;15;305;TL;2
367;15;223;TL;3
368;15;294;TL;2
369;15;208;TL;2
370;15;288;TL;2
371;15;214;TL;2
372;15;69;TL;2
376;16;43;g;900
377;16;416;g;750
378;16;298;Stk;2
379;16;473;Kn.;2
380;16;194;Zh.;5
381;16;163;Stk;1
382;16;434;g;300
383;16;181;g;200
384;16;281;g;20
385;16;422;g;30
386;16;377;EL;1
387;16;8;EL;2
388;16;443;ml;400
391;16;305;TL;2
392;16;62;TL;1
393;16;294;TL;2
394;16;288;TL;2
395;16;25;TL;1
401;17;63;g;400
402;17;468;g;750
403;17;473;Kn.;3
404;17;194;Zh.;5
405;17;163;Stk;1
406;17;379;g;200
407;17;434;g;300
408;17;281;g;20
409;17;377;EL;1
410;17;8;EL;2
411;17;443;ml;300
414;17;305;TL;2
415;17;294;TL;3
416;17;69;TL;1
417;17;62;TL;1
418;17;214;TL;2
426;18;33;g;900
427;18;298;Stk;2
