﻿id;name;tag_categorie_id;image;color
1;Vegan;1;assets/images/icons/vegan.png;#1B5E20
2;Vegetarisch;1;assets/images/icons/vegetarisch.png;#827717
3;Omnivor;1;assets/images/icons/omnivor.png;#E65100
4;Süß;2;assets/images/icons/suess.png;#EC407A
5;Herzhaft;2;assets/images/icons/herzhaft.png;#7E57C2
6;Mild;2;assets/images/icons/mild.png;#EF9A9A
7;Scharf;2;assets/images/icons/scharf.png;#DD2222
8;Extrem scharf;2;assets/images/icons/extrem_scharf.png;#651010
9;Asiatisch;3;assets/images/icons/aiatisch.png;#607D8B
10;Orientalisch;3;assets/images/icons/orientalisch.png;#607D8B
11;Afrikanisch;3;assets/images/icons/afrikanisch.png;#607D8B
12;Indisch;3;assets/images/flags/indien.webp;#607D8B
13;Italienisch;3;assets/images/flags/italien.webp;#607D8B
14;Chinesisch;3;assets/images/flags/italien.webp;#607D8B
15;Koreanisch;3;assets/images/flags/suedkorea.webp;#607D8B
16;Thailändisch;3;assets/images/flags/thailand.webp;#607D8B
17;Vietnamesisch;3;assets/images/flags/vietnam.webp;#607D8B
18;Mexikanisch;3;assets/images/flags/mexiko.webp;#607D8B
19;Deutsch;3;assets/images/flags/deutschland.webp;#607D8B
20;Amerikanisch;3;assets/images/flags/usa.webp;#607D8B
21;Griechisch;3;assets/images/flags/griechenland.webp;#607D8B
22;Marokkanisch;3;assets/images/flags/marokko.webp;#607D8B
23;Türkisch;3;assets/images/flags/tuerkei.webp;#607D8B
24;Französisch;3;assets/images/flags/frankreich.webp;#607D8B
25;Spanisch;3;assets/images/flags/spanien.webp;#607D8B
26;Mealprep-geeignet;4;assets/images/icons/meal_prep.png;#2E7D32
27;nicht Mealprep geeignet;4;assets/images/icons/no_meal_prep.png;#81C784
28;Hauptmahlzeit;5;assets/images/icons/hauptmahlzeit.png;#3C5620
29;Frühstück;5;assets/images/icons/fruehstueck.png;#bf360c
30;Mittagessen;5;assets/images/icons/mittagessen.png;#53772C
31;Abendessen;5;assets/images/icons/abendessen.png;#6A9938
32;Snack;5;assets/images/icons/snack.png;#98C766
35;Sauce;5;assets/images/icons/sauce.png;#AFD388
36;Dip;5;assets/images/icons/dip.png;#C5DFA9
37;Basis;5;assets/images/icons/basis.png;#DCECCB
38;warm;6;assets/images/icons/warm.png;#B71C1C
39;kalt;6;assets/images/icons/kalt.png;#0D47A1
40;einfach;7;assets/images/icons/einfach.png;#90CAF9
41;moderat;7;assets/images/icons/moderat.png;#2196F3
42;aufwändig;7;assets/images/icons/aufwaendig.png;#1565C0
43;fix;8;assets/images/icons/fix.png;#4FC3F7
44;gemächlich;8;assets/images/icons/gemaechlich.png;#01579B
45;Rohkost;9;assets/images/icons/rohkost.png;#004D40
46;gekeimt;9;assets/images/icons/keim.png;#004D40
47;geschnitten;9;assets/images/icons/geschnitten.png;#004D40
48;entkernt;9;assets/images/icons/entkernt.png;#004D40
49;geschält;9;assets/images/icons/geschaelt.png;#004D40
50;zerkleinert;9;assets/images/icons/zerkleinert.png;#004D40
51;gehackt;9;assets/images/icons/zerhacker.png;#004D40
52;gemahlen;9;assets/images/icons/gemahlen.png;#004D40
53;gewaschen;9;assets/images/icons/gewaschen.png;#004D40
54;gepresst;9;assets/images/icons/pressen.png;#004D40
55;geraspelt;9;assets/images/icons/geraspelt.png;#004D40
56;eingeweicht;9;assets/images/icons/einweichen.png;#004D40
57;gekocht;9;assets/images/icons/gekocht.png;#009688
58;gedämpft;9;assets/images/icons/gedaempft.png;#009688
59;blanchiert;9;assets/images/icons/blanchieren.png;#009688
60;eingelegt;9;assets/images/icons/einlegen.png;#009688
61;gebacken;9;assets/images/icons/gebacken.png;#80CBC4
62;geröstet;9;assets/images/icons/roesten.png;#80CBC4
63;gedörrt;9;assets/images/icons/gedoerrt.png;#00796B
64;getrocknet;9;assets/images/icons/trocknen.png;#00796B
65;fermentiert;9;assets/images/icons/fermentieren.png;#00796B
66;gekühlt;9;assets/images/icons/gekuehlt.png;#42A5F5
67;gefroren;9;assets/images/icons/gefroren.png;#1A237E
68;grün;10;;#43A047
69;gelb;10;;#FDD835
70;rot;10;;#E53935
71;orange;10;;#FB8C00
72;violett;10;;#8E24AA
73;braun;10;;#5D4037
74;blau;10;;#1E88E5
75;weiß;10;;#FAFAFA
76;schwarz;10;;#212121
77;Frühling;11;assets/images/icons/fruehling.png;#689F38
78;Sommer;11;assets/images/icons/sommer.png;#FBC02D
79;Herbst;11;assets/images/icons/herbst.png;#F57C00
80;Winter;11;assets/images/icons/winter.png;#0288D1
81;ganzjährig;11;assets/images/icons/ganzjaehrig.png;#388E3C
